Model,Scenario,Region,Variable,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Liquids|Oil,GW,672.0135,821.7459,875.8071,894.259,866.3468,751.0814,570.781,453.3453,255.7055,127.8998,,30.4183,,18.4343,,12.7708,,12.2293
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Coal,GW,801.7848,930.8511,851.6409,840.3857,815.5436,668.2863,547.3195,384.2602,204.7062,144.8544,,79.2673,,38.6239,,8.4808,,0.036
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Other,GW,0,5.0389,11.1614,25.5943,70.0455,117.5978,149.5579,169.925,181.5582,187.4324,,183.9841,,182.6294,,173.6386,,161.4372
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Liquids|Biomass,GW,0.1503,0.1392,0.1195,0.1015,0.067,0.0605,0.0814,0.0805,0.079,0.078,,0.0683,,0.0436,,1.5873,,7.5258
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Wind,GW,23.8336,40.487,82.0631,154.946,241.8783,329.4561,424.8614,536.3271,679.7029,854.1438,,1306.8879,,1649.071,,1813.3785,,1912.8985
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Nuclear,GW,5.3,9.6327,18.6388,39.271,72.45,108.5855,139.3396,164.4431,183.5243,196.8746,,200.8639,,173.7408,,121.9484,,66.9115
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Biomass,GW,6.8976,9.4011,10.3243,11.5,11.5528,10.8535,9.7271,8.1034,5.9261,3.4037,,0.9368,,0.0003,,0.0003,,0.0003
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Liquids|Coal,GW,0.2692,0.2875,1.0051,4.7861,16.675,45.6993,103.5168,197.8194,325.5396,470.156,,735.508,,895.1129,,908.8548,,821.9109
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Solar,GW,5.3143,41.7064,186.4537,425.5251,662.9224,896.662,1153.1991,1469.0271,1858.5619,2267.194,,3046.848,,3799.5685,,4522.757,,5270.8511
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Oil,GW,9.0262,6.8237,4.4761,1.6613,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,0.0001,,0.0001,,0.0001
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Hydro,GW,49.6317,56.1396,63.3026,70.8095,77.7938,83.7451,88.4686,91.9218,94.1658,95.4924,,96.0735,,95.4924,,96.3807,,95.9887
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Gas,GW,25.7382,18.461,23.7415,34.2452,42.6814,42.7558,39.5484,35.2491,29.2369,20.63,,4.9604,,2.2385,,0.8101,,0.0056
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Geothermal,GW,0,0,0.0059,0.0118,0.0118,0.0115,0.0118,0.0112,0.0118,0.0116,,0.0118,,0.0118,,0.0118,,0.0118
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Liquids|Oil,GW,218.8159,271.4838,349.0794,437.7371,497.2694,526.2403,521.1934,476.6878,344.5533,242.421,,104.1331,,36.6658,,37.2287,,58.0034
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Coal,GW,168.3981,219.7129,244.4759,256.3061,248.8261,227.2173,177.6578,141.0025,103.2465,61.3902,,0.6231,,0.0471,,0.0006,,0.0003
REMIND 3.0,GP_CurPol_T45,Countries of South Asia; primarily India,Capacity|Electricity|Other,GW,0,1.2057,4.6258,15.177,38.245,68.2617,98.7105,129.6859,166.3968,207.0895,,289.4239,,352.3871,,401.4311,,450.492
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Liquids|Biomass,GW,0.0763,0.0729,0.0665,0.0596,1.3377,7.2897,18.6241,31.0553,38.9615,41.7086,,40.0828,,36.9092,,41.1755,,55.717
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Wind,GW,2.0843,6.3472,29.1874,84.9537,176.2464,301.8908,459.3223,645.6649,861.3902,1096.4056,,1603.6543,,1945.2955,,2097.0501,,2209.2123
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Nuclear,GW,22.4,24.6614,27.3611,30.1213,32.3945,33.6758,34.1587,33.9296,33.0517,31.7314,,27.5208,,19.3686,,11.0721,,5.0314
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Biomass,GW,0.6677,0.9714,3.563,9.154,12.3973,12.2065,11.8562,11.2997,10.4859,9.2577,,4.6701,,0.0003,,0.0003,,0.0002
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Liquids|Coal,GW,0.0028,0.0028,0.0027,0.0026,0.0025,0.008,0.0132,0.0123,0.0119,0.0119,,0.0119,,0.011,,0.0119,,0.0118
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Solar,GW,5.8986,41.1179,151.2013,341.2776,561.9502,802.7001,1051.2981,1300.4093,1552.843,1802.0302,,2357.6246,,3022.5762,,3491.0061,,3720.1545
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Oil,GW,44.6027,33.5731,21.9304,8.1022,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,0.0001,,0.0001,,0.0001
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Hydro,GW,59.4459,82.0247,100.6088,115.0677,124.8185,130.4393,133.2415,134.3389,134.4235,133.9558,,132.2136,,130.4393,,130.4393,,130.7244
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Gas,GW,135.1665,135.8682,161.5527,202.1321,236.6319,249.8641,245.6352,232.8152,212.034,180.4115,,91.4756,,25.0649,,2.7196,,0.0001
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Geothermal,GW,4.8742,7.5696,11.7164,14.4374,14.4374,14.1802,14.4374,14.4374,14.43,14.4374,,14.4374,,14.4374,,13.9948,,14.4374
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Liquids|Oil,GW,520.0135,620.6531,713.456,767.8241,792.2885,798.2095,785.8807,741.9524,678.1952,592.8879,,393.213,,205.6638,,31.1093,,9.1983
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Coal,GW,89.4715,116.6238,136.9207,145.6994,143.403,133.2823,118.2208,98.4939,75.9627,43.5184,,1.1664,,0.1774,,0.0006,,0.0003
REMIND 3.0,GP_CurPol_T45,Other countries of Asia,Capacity|Electricity|Other,GW,0,1.8253,6.9527,21.8371,47.1306,70.6803,94.9335,122.5127,151.1096,181.0428,,249.0494,,317.2023,,361.9627,,382.0865
REMIND 3.0,GP_CurPol_T45,Countries of Sub-Saharan Africa,Capacity|Liquids|Biomass,GW,0,0,0.0002,0.1828,0.7672,1.3748,1.5729,1.5448,1.4799,1.3538,,0.788,,0.0803,,0.002,,6.8386
REMIND 3.0,GP_CurPol_T45,Countries of Sub-Saharan Africa,Capacity|Electricity|Wind,GW,1.444,3.6298,10.1524,26.5737,58.9427,114.6093,205.0887,344.8907,541.5255,782.6729,,1474.437,,2347.6897,,3476.6949,,4394.5887
REMIND 3.0,GP_CurPol_T45,Countries of Sub-Saharan Africa,Capacity|Electricity|Nuclear,GW,1.83,1.7255,1.5753,1.4005,1.2038,0.9804,0.7593,0.5534,0.3698,0.2174,,0.0188,,0,,0,,0
REMIND 3.0,GP_CurPol_T45,Countries of Sub-Saharan Africa,Capacity|Electricity|Biomass,GW,0.3411,0.7272,1.4222,1.8771,1.9284,1.8498,1.7252,1.5605,1.3579,1.0853,,0.294,,0.0003,,0.0003,,0.0003
REMIND 3.0,GP_CurPol_T45,Countries of Sub-Saharan Africa,Capacity|Liquids|Coal,GW,0.0133,0.0131,0.0126,0.0116,0.0099,0.0107,0.0122,0.0119,0.0119,0.0119,,0.0102,,0.0046,,0.0062,,0.0119
